,id_depto,provincia,nombre_depto,pob_jardin,pob_primaria,pob_secundaria,pob_total
0,6007,Buenos Aires,Adolfo Alsina,732.0,1463.0,1462.0,17344.0
1,6014,Buenos Aires,Adolfo Gonzales Chaves,523.0,1184.0,1204.0,12847.0
2,6021,Buenos Aires,Alberti,495.0,1166.0,1222.0,12906.0
3,6028,Buenos Aires,Almirante Brown,25188.0,58015.0,58563.0,583209.0
4,6035,Buenos Aires,Avellaneda,13168.0,31635.0,32280.0,366117.0
5,6042,Buenos Aires,Ayacucho,985.0,2051.0,2217.0,21757.0
6,6049,Buenos Aires,Azul,3086.0,7022.0,7110.0,75152.0
7,6056,Buenos Aires,Bahía Blanca,12522.0,29136.0,28181.0,334505.0
8,6063,Buenos Aires,Balcarce,1973.0,4356.0,4265.0,48516.0
9,6077,Buenos Aires,Arrecifes,1435.0,3046.0,2972.0,32077.0
10,6091,Buenos Aires,Berazategui,14843.0,35310.0,35813.0,358328.0
11,6098,Buenos Aires,Berisso,4327.0,10089.0,9796.0,100685.0
12,6105,Buenos Aires,Bolívar,1590.0,3296.0,3284.0,37194.0
13,6112,Buenos Aires,Bragado,1884.0,4108.0,4278.0,46227.0
14,6119,Buenos Aires,Brandsen,1475.0,3406.0,3522.0,32350.0
15,6126,Buenos Aires,Campana,4628.0,10711.0,10932.0,107976.0
16,6134,Buenos Aires,Cañuelas,3575.0,8115.0,7727.0,70542.0
17,6140,Buenos Aires,Capitán Sarmiento,625.0,1468.0,1475.0,15882.0
18,6147,Buenos Aires,Carlos Casares,979.0,2127.0,2160.0,22905.0
19,6154,Buenos Aires,Carlos Tejedor,628.0,1331.0,1282.0,14007.0
20,6161,Buenos Aires,Carmen de Areco,785.0,1627.0,1736.0,17345.0
21,6168,Buenos Aires,Castelli,416.0,888.0,871.0,9551.0
22,6175,Buenos Aires,Colón,1112.0,2418.0,2582.0,27406.0
23,6182,Buenos Aires,Coronel de Marina Leonardo Rosales,2684.0,6284.0,6426.0,65823.0
24,6196,Buenos Aires,Coronel Pringles,1075.0,2404.0,2207.0,24110.0
25,6210,Buenos Aires,Chacabuco,1940.0,4504.0,4851.0,52409.0
26,6218,Buenos Aires,Chascomús,1873.0,4228.0,4344.0,42191.0
27,6224,Buenos Aires,Chivilcoy,2733.0,6129.0,6490.0,70554.0
28,6231,Buenos Aires,Daireaux,790.0,1704.0,1827.0,18328.0
29,6238,Buenos Aires,Dolores,1398.0,2888.0,3018.0,31405.0
30,6245,Buenos Aires,Ensenada,2860.0,6608.0,6677.0,63978.0
31,6252,Buenos Aires,Escobar,12294.0,27457.0,26051.0,256071.0
32,6260,Buenos Aires,Esteban Echeverría,15490.0,35257.0,34376.0,337880.0
33,6274,Buenos Aires,Florencio Varela,24703.0,55183.0,53050.0,488103.0
34,6277,Buenos Aires,Florentino Ameghino,470.0,1070.0,1155.0,10759.0
35,6280,Buenos Aires,General Alvarado,1945.0,4115.0,4199.0,45307.0
36,6287,Buenos Aires,General Alvear,429.0,968.0,931.0,10150.0
37,6294,Buenos Aires,General Arenales,655.0,1331.0,1361.0,16231.0
38,6301,Buenos Aires,General Belgrano,899.0,1957.0,1906.0,20674.0
39,6308,Buenos Aires,General Guido,137.0,285.0,322.0,3157.0
40,6322,Buenos Aires,General La Madrid,474.0,1083.0,1010.0,11535.0
41,6329,Buenos Aires,General Las Heras,836.0,1773.0,1811.0,17980.0
42,6336,Buenos Aires,General Lavalle,250.0,549.0,523.0,4846.0
43,6343,Buenos Aires,General Paz,639.0,1495.0,1388.0,14141.0
44,6357,Buenos Aires,General Pueyrredón,23100.0,53294.0,56683.0,660569.0
45,6364,Buenos Aires,General Rodríguez,7808.0,18024.0,16181.0,142315.0
